id;data_coleta;volume_ml;temperatura;local_coleta;observacoes;status_coleta;doadora_id
1;2025-07-12;19182.21;18334.66;softly instruction apud;although;CANCELADA;1
2;2025-07-11;11119.31;2508.48;notwithstanding challenge energetically;during;AGUARDANDO_PROCESSAMENTO;2
3;2025-07-12;6495.78;18610.99;once clearly;and righteously amid;AGUARDANDO_PROCESSAMENTO;3
4;2025-07-12;10835.85;796.43;outside likewise quietly;elevator gleefully derby;PROCESSADA;4
5;2025-07-12;18029.59;9204.86;scrabble bitterly;midst cleverly atop;CANCELADA;5
6;2025-07-12;13565.53;11287.14;whoever;or indeed;CANCELADA;6
7;2025-07-12;16162.96;2242.85;scrape;ugh teriyaki hmph;CANCELADA;7
8;2025-07-11;23513.43;4668.56;a;frantically;CANCELADA;8
9;2025-07-12;22048.68;7091.58;unfortunately lend;stylish relative;CANCELADA;9
10;2025-07-11;29362.19;6533.34;whereas blossom sew;french ah besides;PROCESSADA;10
