id;data_producao;data_validade;tipo_leite;classificacao;volume_total_ml;volume_disponivel_ml;local_armazenamento;temperatura_armazenamento;status_lote
1;2025-07-12;2025-07-12;COLOSTRO;A;27455.79;13931.6;stylish bobble eulogise;6679.5;RESERVADO
2;2025-07-11;2025-07-12;COLOSTRO;A;25743.46;11532.41;huzzah gosh;1776.92;RESERVADO
3;2025-07-12;2025-07-12;COLOSTRO;A;16946.72;2935.3;encode devastation;23974.08;RESERVADO
4;2025-07-11;2025-07-12;MADURO;C;28628.39;31049.61;traduce;25611.58;RESERVADO
5;2025-07-12;2025-07-12;COLOSTRO;C;31200.07;19420.42;whereas notwithstanding on;30723.24;EXPIRADO
6;2025-07-11;2025-07-12;TRANSICAO;B;31084.69;19557;lest tightly ew;6183.53;EXPIRADO
7;2025-07-12;2025-07-12;TRANSICAO;A;1278.33;12833.12;book disappointment;14444.02;DISPONIVEL
8;2025-07-12;2025-07-12;TRANSICAO;C;8032.19;11573.55;aboard;20564.95;DISTRIBUIDO
9;2025-07-12;2025-07-12;TRANSICAO;B;1889.65;27994.19;yowza;8376.2;EXPIRADO
10;2025-07-12;2025-07-11;COLOSTRO;C;16519.5;26380.01;gee notwithstanding;11206.58;RESERVADO
