id;data_processamento;tecnico_responsavel;valor_acidez_dornic;valor_calorico_kcal;resultado_analise;status_processamento
1;2025-07-12;or disposer;20760.61;2039.11;REPROVADO;CONCLUIDO
2;2025-07-12;pure supposing comb;5295;4010.06;APROVADO;EM_ANALISE
3;2025-07-12;uncork;17017.18;22854.38;REPROVADO;REJEITADO
4;2025-07-12;into to;22186.34;168.84;REPROVADO;CONCLUIDO
5;2025-07-12;fork oof;6236.38;7815.15;APROVADO;CONCLUIDO
6;2025-07-11;saturate as;15465.12;4239.49;APROVADO;REJEITADO
7;2025-07-12;materialise broadcast;6803.38;30734.69;REPROVADO;REJEITADO
8;2025-07-11;vision freight analyse;1282.36;3178.67;REPROVADO;CONCLUIDO
9;2025-07-12;geez ugh;12160.21;27509.97;APROVADO;EM_ANALISE
10;2025-07-12;extract round;29878;23646.86;REPROVADO;EM_ANALISE
